Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Make_Model
BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,13.5,9.3,11.6,271,4,3,BMW_M850i xDrive Coupe
BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,13.9,9.6,12.0,279,4,3,BMW_M850i xDrive Gran Coupe
BMW,X1 xDrive28i,SUV: Small,2.0,4,AS8,Z,10.3,7.7,9.1,213,5,7,BMW_X1 xDrive28i
BMW,X2 xDrive28i,SUV: Small,2.0,4,AS8,Z,9.9,7.6,8.8,207,6,7,BMW_X2 xDrive28i
BMW,X2 M35i,SUV: Small,2.0,4,AS8,Z,9.9,7.6,8.9,207,6,3,BMW_X2 M35i
BMW,X3 xDrive30i,SUV: Small,2.0,4,AS8,Z,11.0,8.5,9.9,230,5,7,BMW_X3 xDrive30i
BMW,X3 M,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,323,3,3,BMW_X3 M
BMW,X3 M Competition,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,323,3,3,BMW_X3 M Competition
BMW,X3 M40i,SUV: Small,3.0,6,AS8,Z,11.2,9.1,10.3,241,5,5,BMW_X3 M40i
BMW,X4 xDrive30i,SUV: Small,2.0,4,AS8,Z,11.0,8.5,9.9,230,5,7,BMW_X4 xDrive30i
BMW,X4 M,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,323,3,3,BMW_X4 M
BMW,X4 M Competition,SUV: Small,3.0,6,AS8,Z,15.7,11.7,13.9,323,3,3,BMW_X4 M Competition
BMW,X4 M40i,SUV: Small,3.0,6,AS8,Z,11.2,9.1,10.3,241,5,5,BMW_X4 M40i
BMW,X5 xDrive40i,SUV: Standard,3.0,6,AS8,Z,11.3,9.2,10.4,241,5,3,BMW_X5 xDrive40i
BMW,X5 M,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,364,2,3,BMW_X5 M
BMW,X5 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,364,2,3,BMW_X5 M Competition
BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.4,10.6,12.7,302,3,3,BMW_X5 M50i
BMW,X6 xDrive40i,SUV: Standard,3.0,6,AS8,Z,11.3,9.2,10.4,241,5,3,BMW_X6 xDrive40i
BMW,X6 M,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,364,2,3,BMW_X6 M
BMW,X6 M Competition,SUV: Standard,4.4,8,AS8,Z,17.9,13.0,15.7,364,2,3,BMW_X6 M Competition
BMW,X6 M50i,SUV: Standard,4.4,8,AS8,Z,14.4,10.6,12.7,302,3,3,BMW_X6 M50i
BMW,X7 xDrive40i,SUV: Standard,3.0,6,AS8,Z,12.1,9.8,11.1,256,5,3,BMW_X7 xDrive40i
BMW,X7 M50i,SUV: Standard,4.4,8,AS8,Z,15.7,11.5,13.8,321,3,3,BMW_X7 M50i
BMW,Z4 sDrive30i,Two-seater,2.0,4,AS8,Z,9.4,7.4,8.5,199,6,7,BMW_Z4 sDrive30i
BMW,Z4 M40i,Two-seater,3.0,6,AS8,Z,10.8,8.1,9.6,223,5,5,BMW_Z4 M40i
Bugatti,Chiron,Two-seater,8.0,16,AM7,Z,26.8,16.6,22.2,522,1,1,Bugatti_Chiron
Bugatti,Chiron Pur Sport,Two-seater,8.0,16,AM7,Z,30.3,20.9,26.1,608,1,1,Bugatti_Chiron Pur Sport
Bugatti,Chiron Super Sport,Two-seater,8.0,16,AM7,Z,30.3,20.9,26.1,608,1,1,Bugatti_Chiron Super Sport
Buick,Enclave,SUV: Standard,3.6,6,A9,X,13.0,9.1,11.2,263,4,6,Buick_Enclave
Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,277,4,6,Buick_Enclave AWD
Buick,Encore,SUV: Small,1.4,4,AS6,X,9.7,7.3,8.6,201,6,7,Buick_Encore
Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,10.2,7.7,9.1,214,5,7,Buick_Encore AWD
Buick,Encore GX,SUV: Small,1.2,3,AV,X,8.0,7.6,7.8,184,6,7,Buick_Encore GX
Buick,Encore GX,SUV: Small,1.3,3,AV,X,8.2,7.4,7.9,185,6,7,Buick_Encore GX
Buick,Encore GX AWD,SUV: Small,1.3,3,A9,X,9.0,8.2,8.6,201,6,7,Buick_Encore GX AWD
Buick,Envision,SUV: Small,2.0,4,AS9,X,10.0,7.6,8.9,209,5,7,Buick_Envision
Buick,Envision AWD,SUV: Small,2.0,4,AS9,X,10.5,8.2,9.5,220,5,7,Buick_Envision AWD
Cadillac,CT4,Compact,2.0,4,AS8,Z,10.2,7.0,8.8,206,6,7,Cadillac_CT4
Cadillac,CT4,Compact,2.7,4,AS10,Z,11.0,7.6,9.5,221,5,6,Cadillac_CT4
Cadillac,CT4 AWD,Compact,2.0,4,AS8,Z,10.5,7.6,9.2,216,5,7,Cadillac_CT4 AWD
Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,11.4,8.2,10.0,233,5,6,Cadillac_CT4 AWD
Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.9,8.2,10.2,239,5,6,Cadillac_CT4-V
Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,12.0,8.4,10.4,244,5,6,Cadillac_CT4-V AWD
Cadillac,CT4-V Blackwing,Compact,3.6,6,AS10,Z,15.0,9.7,12.6,297,4,5,Cadillac_CT4-V Blackwing
Cadillac,CT4-V Blackwing,Compact,3.6,6,M6,Z,15.2,10.2,13.0,303,3,5,Cadillac_CT4-V Blackwing
Cadillac,CT5,Mid-size,2.0,4,AS10,Z,10.3,7.1,8.8,207,6,7,Cadillac_CT5
Cadillac,CT5,Mid-size,3.0,6,AS10,Z,12.4,8.7,10.7,252,5,5,Cadillac_CT5
Cadillac,CT5 AWD,Mid-size,2.0,4,AS10,Z,10.9,7.8,9.5,222,5,7,Cadillac_CT5 AWD
Cadillac,CT5 AWD,Mid-size,3.0,6,AS10,Z,12.8,9.1,11.1,260,4,5,Cadillac_CT5 AWD
Cadillac,CT5-V,Mid-size,3.0,6,AS10,Z,12.8,8.7,11.0,258,4,5,Cadillac_CT5-V
Cadillac,CT5-V AWD,Mid-size,3.0,6,AS10,Z,12.8,9.1,11.1,260,4,5,Cadillac_CT5-V AWD
Cadillac,CT5-V Blackwing,Mid-size,6.2,8,AS10,Z,18.1,10.7,14.8,346,3,3,Cadillac_CT5-V Blackwing
Cadillac,CT5-V Blackwing,Mid-size,6.2,8,M6,Z,18.3,11.4,15.2,356,3,3,Cadillac_CT5-V Blackwing
Cadillac,Escalade 4WD,SUV: Standard,3.0,6,A10,D,11.7,9.0,10.5,281,4,3,Cadillac_Escalade 4WD
Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,Z,16.3,12.7,14.7,345,3,6,Cadillac_Escalade 4WD
Cadillac,Escalade 4WD (No Stop-Start),SUV: Standard,6.2,8,A10,Z,17.0,12.7,15.1,353,3,6,Cadillac_Escalade 4WD (No Stop-Start)
Cadillac,XT4,SUV: Small,2.0,4,AS9,Z,10.0,7.8,9.0,211,5,7,Cadillac_XT4
Cadillac,XT4 AWD,SUV: Small,2.0,4,AS9,Z,10.9,8.2,9.7,225,5,7,Cadillac_XT4 AWD
Cadillac,XT5,SUV: Small,2.0,4,AS9,Z,10.8,8.2,9.6,225,5,7,Cadillac_XT5
Cadillac,XT5 AWD,SUV: Small,2.0,4,AS9,Z,11.2,8.7,10.1,237,5,7,Cadillac_XT5 AWD
Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,X,12.9,9.2,11.2,263,4,6,Cadillac_XT5 AWD
Cadillac,XT6 AWD,SUV: Small,2.0,4,AS9,Z,11.2,9.0,10.2,239,5,7,Cadillac_XT6 AWD
Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,X,13.1,9.5,11.5,269,4,6,Cadillac_XT6 AWD
Chevrolet,Blazer,SUV: Small,2.0,4,A9,X,10.6,8.0,9.4,221,5,7,Chevrolet_Blazer
Chevrolet,Blazer,SUV: Small,3.6,6,A9,X,12.3,8.8,10.7,252,5,6,Chevrolet_Blazer
Chevrolet,Blazer AWD,SUV: Small,2.0,4,A9,X,10.8,8.7,9.9,232,5,7,Chevrolet_Blazer AWD
Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,X,12.6,9.2,11.0,259,4,6,Chevrolet_Blazer AWD
Chevrolet,Camaro,Subcompact,2.0,4,AS8,Z,10.9,7.8,9.5,222,5,5,Chevrolet_Camaro
Chevrolet,Camaro,Subcompact,2.0,4,M6,Z,12.6,8.0,10.5,239,5,5,Chevrolet_Camaro
Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,12.8,8.1,10.7,251,5,6,Chevrolet_Camaro
Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.4,9.1,12.0,281,4,6,Chevrolet_Camaro
Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.6,8.9,12.0,281,4,1,Chevrolet_Camaro SS
Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,296,4,1,Chevrolet_Camaro SS
Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,355,3,1,Chevrolet_Camaro ZL1
Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,17.2,12.0,14.9,349,3,1,Chevrolet_Camaro ZL1
Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,X,12.2,9.4,10.9,257,5,6,Chevrolet_Colorado
Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,270,4,3,Chevrolet_Colorado
Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,12.9,9.3,11.3,263,4,6,Chevrolet_Colorado
